A P/E =  35.07 P/B =  5.43 Price = 84.98
AA P/E =  - P/B =  0.36 Price = 8.21
AAL P/E =  - P/B =  - Price = 9.70
AAN P/E =  - P/B =  1.57 Price = 33.98
AAP P/E =  24.33 P/B =  2.61 Price = 133.48
AAPL P/E =  25.00 P/B =  17.73 Price = 318.89
AAXN P/E =  - P/B =  7.89 Price = 74.11
ABBV P/E =  16.30 P/B =  - Price = 92.10
ABC P/E =  12.27 P/B =  5.33 Price = 93.14
ABG P/E =  8.50 P/B =  2.08 Price = 72.07
ABMD P/E =  46.58 P/B =  8.71 Price = 206.16
ABT P/E =  45.90 P/B =  5.36 Price = 91.47
ACAD P/E =  - P/B =  12.47 Price = 51.24
ACH P/E =  36.85 P/B =  0.42 Price = 4.79
ACIA P/E =  70.36 P/B =  4.68 Price = 67.90
ACM P/E =  - P/B =  1.61 Price = 35.82
ACN P/E =  25.16 P/B =  7.98 Price = 193.71
ADBE P/E =  58.33 P/B =  17.75 Price = 385.26
ADI P/E =  37.07 P/B =  3.53 Price = 111.06
ADM P/E =  12.81 P/B =  1.05 Price = 35.38
ADP P/E =  23.12 P/B =  10.56 Price = 134.87
ADS P/E =  5.22 P/B =  1.84 Price = 42.05
ADSK P/E =  203.94 P/B =  - Price = 195.78
ADUS P/E =  61.74 P/B =  3.05 Price = 92.98
AEE P/E =  22.07 P/B =  2.13 Price = 69.82
AEIS P/E =  40.30 P/B =  3.48 Price = 62.23
AERI P/E =  - P/B =  5.66 Price = 15.74
AES P/E =  28.01 P/B =  3.20 Price = 12.24
AFG P/E =  20.63 P/B =  1.07 Price = 59.81
AFL P/E =  8.73 P/B =  0.95 Price = 34.70
AGCO P/E =  39.30 P/B =  1.48 Price = 51.84
AGIO P/E =  - P/B =  5.79 Price = 52.78
AIG P/E =  5.87 P/B =  0.42 Price = 28.89
AIMT P/E =  - P/B =  4.65 Price = 16.94
AIR P/E =  9.27 P/B =  0.67 Price = 17.92
AIV P/E =  26.51 P/B =  3.11 Price = 35.90
AIZ P/E =  18.37 P/B =  1.14 Price = 101.37
AJG P/E =  26.14 P/B =  3.42 Price = 91.10
AJRD P/E =  25.12 P/B =  5.05 Price = 40.19
AKAM P/E =  33.40 P/B =  4.43 Price = 100.42
ALB P/E =  14.29 P/B =  1.87 Price = 68.11
ALGN P/E =  10.22 P/B =  6.71 Price = 243.74
ALGT P/E =  10.09 P/B =  1.72 Price = 87.50
ALK P/E =  7.28 P/B =  0.95 Price = 31.02
ALL P/E =  7.95 P/B =  1.36 Price = 94.82
ALLE P/E =  27.55 P/B =  14.31 Price = 94.29
ALLK P/E =  - P/B =  7.80 Price = 76.56
ALLO P/E =  - P/B =  9.70 Price = 54.04
ALNY P/E =  - P/B =  11.74 Price = 140.52
ALRM P/E =  43.49 P/B =  6.16 Price = 46.36
ALSN P/E =  7.47 P/B =  5.98 Price = 35.71
ALTR P/E =  - P/B =  7.35 Price = 36.29
ALV P/E =  13.15 P/B =  2.75 Price = 63.95
ALXN P/E =  9.56 P/B =  1.91 Price = 101.50
AMAT P/E =  17.32 P/B =  5.53 Price = 54.39
AMCX P/E =  5.42 P/B =  2.64 Price = 29.16
AMD P/E =  135.55 P/B =  21.22 Price = 55.17
AME P/E =  21.07 P/B =  3.69 Price = 85.90
AMED P/E =  49.86 P/B =  9.14 Price = 192.01
AMG P/E =  16.29 P/B =  1.03 Price = 64.46
AMGN P/E =  17.74 P/B =  14.08 Price = 226.43
AMN P/E =  22.51 P/B =  2.78 Price = 43.96
