Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
1;A;Agilent Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00846U1016;;1,00;0,01;USD;23.11.2016 0:00:00
2;AA;Alcoa Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0138721065;;1,00;0,01;USD;23.11.2016 0:00:00
3;AAL;American Airlines Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02376R1023;;1,00;0,01;USD;18.05.2017 0:00:00
4;AAN;Aaron's, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0025353006;;1,00;0,01;USD;28.02.2019 0:00:00
5;AAP;Advance Auto Parts, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00751Y1064;;1,00;0,01;USD;23.11.2016 0:00:00
6;AAPL;Apple Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0378331005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
7;AAXN;Axon Enterprise, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US05464C1018;;1,00;0,01;USD;11.06.2019 0:00:00
8;ABBV;AbbVie Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00287Y1091;ESVXFR;1,00;0,01;USD;28.11.2014 0:00:00
9;ABC;AmerisourceBergen Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03073E1055;;1,00;0,01;USD;18.05.2020 0:00:00
10;ABG;Asbury Automotive Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0434361046;;1,00;0,01;USD;28.02.2019 0:00:00
11;ABMD;ABIOMED, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0036541003;;1,00;0,01;USD;04.04.2019 0:00:00
12;ABT;Abbott Laboratories;Акции;Акции иностранного эмитента обыкновенные;;US0028241000;;1,00;0,01;USD;23.11.2016 0:00:00
